full_name,stargazers_count,forks_count,subscribers_count,open_issues_count,size,network_count,language,has_wiki,has_pages,has_issues,topics_count,age_days,created_at,pushed_at
kovidgoyal/kitty,32977,1370,187,12,72734,1370,Python,True,False,True,12,3500,2016-10-16T14:48:28Z,2026-05-18T08:49:19Z
raysan5/raylib,32977,3100,313,18,420270,3100,C,True,False,True,18,4588,2013-10-24T15:46:04Z,2026-05-15T15:40:27Z
remix-run/remix,32975,2769,268,63,83223,2769,TypeScript,False,False,True,0,2029,2020-10-26T19:57:28Z,2026-05-15T23:20:44Z
gulpjs/gulp,32974,4156,1005,34,1117,4156,JavaScript,False,False,True,0,4701,2013-07-04T05:26:06Z,2026-02-09T06:30:13Z
google/comprehensive-rust,32967,2010,150,166,27997,2010,Rust,False,True,True,8,1243,2022-12-21T15:17:24Z,2026-05-06T18:05:10Z
alibaba/nacos,32956,13277,892,249,90665,13277,Java,True,False,True,16,2894,2018-06-15T06:49:27Z,2026-05-18T03:53:21Z
ibraheemdev/modern-unix,32917,829,397,68,72,829,,True,False,True,7,1952,2021-01-12T00:50:14Z,2024-09-10T19:48:56Z
lutzroeder/netron,32902,3118,316,19,95591,3118,JavaScript,False,False,True,16,5621,2010-12-26T12:53:43Z,2026-05-18T05:02:31Z
shadowsocks/ShadowsocksX-NG,32892,7813,930,314,50660,7813,Swift,True,True,True,6,3628,2016-06-10T11:49:00Z,2024-10-29T12:19:30Z
cursor/cursor,32881,2241,245,1,1655,2241,,False,False,False,0,1163,2023-03-12T00:19:42Z,2026-05-12T15:25:06Z
qier222/YesPlayMusic,32863,4705,217,648,48857,4705,Vue,True,False,True,18,2047,2020-10-09T10:04:21Z,2026-01-18T06:11:52Z
NginxProxyManager/nginx-proxy-manager,32857,3744,213,911,22328,3744,TypeScript,False,False,True,2,3070,2017-12-20T23:01:16Z,2026-05-18T06:55:45Z
binarywang/WxJava,32789,9066,1340,35,19751,9066,Java,True,False,True,15,3785,2016-01-06T08:24:05Z,2026-05-13T02:11:42Z
zellij-org/zellij,32720,1202,112,1697,158454,1202,Rust,True,False,True,3,2084,2020-09-01T14:04:28Z,2026-05-13T08:33:00Z
tinygrad/tinygrad,32708,4112,284,184,113211,4112,Python,False,True,True,0,2037,2020-10-18T16:23:12Z,2026-05-17T20:59:30Z
open-mmlab/mmdetection,32694,9837,364,1959,64771,9837,Python,True,False,True,20,2826,2018-08-22T07:06:06Z,2024-08-21T02:01:07Z
microsoft/playwright-mcp,32662,2678,123,4,1989,2678,TypeScript,False,False,True,2,422,2025-03-21T17:48:36Z,2026-05-12T18:18:54Z
yewstack/yew,32636,1457,287,115,21996,1457,Rust,False,True,True,13,3074,2017-12-16T14:19:02Z,2026-05-15T11:20:24Z
apache/kafka,32618,15198,1043,347,290981,15198,Java,False,False,False,4,5389,2011-08-15T18:06:16Z,2026-05-18T05:27:49Z
floating-ui/floating-ui,32594,1678,246,49,41269,1678,TypeScript,True,False,True,9,3701,2016-03-29T17:00:47Z,2026-03-03T03:02:11Z
nicolargo/glances,32569,1736,499,100,55309,1736,Python,True,True,True,8,5279,2011-12-04T08:49:15Z,2026-05-18T07:29:57Z
0xAX/linux-insides,32556,3524,1311,31,21379,3524,Python,False,False,True,3,4152,2015-01-03T18:44:57Z,2026-05-17T19:39:00Z
